FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: HV
Al0.15 Cr0.5 Fe1 Mn0.625 Ni0.375,FCC+BCC,CAST,other,
Al0.25 Cr0.5 Fe1 Mn0.625 Ni0.375,B2+BCC,CAST,other,
Al0.35 Cr0.5 Fe1 Mn0.625 Ni0.375,B2+BCC,CAST,other,
Cr0.5 Fe1 Mn0.625 Ni0.375,FCC+BCC,CAST,other,
Al0.05 Cr0.5 Fe1 Mn0.625 Ni0.375,FCC+BCC,CAST,other,
Al0.15 Cr0.5 Fe1 Mn0.625 Ni0.375,FCC+BCC,CAST,other,
Al0.25 Cr0.5 Fe1 Mn0.625 Ni0.375,B2+BCC,CAST,other,
Al0.35 Cr0.5 Fe1 Mn0.625 Ni0.375,B2+BCC,CAST,other,
Al0.304 Co1 Cr1 Fe1 Ni1,FCC+L12,CAST,other,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2,CAST,other,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2,CAST,other,
Al0.515 Cr0.515 Fe1 Ni1,FCC+BCC+B2,CAST,other,
Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,BCC+B2,CAST,other,
Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,,CAST,other,
Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,,CAST,other,
Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,,CAST,other,
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,FCC,CAST,FCC,
Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,
Co1 Cr1 Fe1 Mo0.083 Ni1,,CAST,other,
Co1 Cr1 Fe1 Mo0.208 Ni1,,CAST,other,
Co1 Cr1 Fe1 Mo0.304 Ni1,FCC+Sec.,CAST,other,
Al0.229 Co0.486 Cr0.4 Cu0.229 Fe0.486 Mo0.003 Ni1 Ti0.029 W0.003,,CAST,other,231
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,,CAST,other,343
Al0.885 Cr1 Fe1 Ni1,BCC+B2,CAST,other,
Al1 Cr1 Fe1 Ni1,BCC+B2,CAST,other,
Al1 Cr0.889 Fe0.889 Ni0.889,BCC+B2,CAST,other,
Al1 Cr0.828 Fe0.828 Ni0.828,BCC+B2,CAST,other,
Al1 Cr0.767 Fe0.767 Ni0.767,BCC+B2,CAST,other,
Al0.5 Cr0.5 Fe1 Ni1,BCC+B2,CAST,other,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2,CAST,other,
Al0.545 Cr0.545 Fe0.515 Ni1 Ti0.273,BCC+B2+L12,CAST,other,
Cr1 Fe1 Ni1 V0.5 W1,FCC+BCC+Sec.,CAST,other,
Al0.515 Cr0.515 Cu0.515 Fe0.515 Ni1,FCC+BCC+B2,CAST,other,
Al0.304 Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,
Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,
Al0.511 Co0.511 Cr0.511 Fe0.511 Ni1,FCC+B2,CAST,other,
Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,FCC+B2,CAST,other,
Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,FCC+B2,CAST,other,
Al0.242 Co0.515 Cr0.515 Cu0.242 Fe0.515 Ni1,Other,CAST,other,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,BCC+Sec.,CAST,other,
Al1 Co1 Cr1 Fe1 Ni1,BCC+B2,CAST,other,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,BCC+Sec.,CAST,other,
Al0.5 Cr0.5 Fe0.5 Ni1,FCC+BCC+B2,CAST,other,
Al0.429 Cr0.476 Fe0.476 Ni1,FCC+BCC+B2,CAST,other,
Al0.364 Cr0.455 Fe0.455 Ni1,FCC+BCC+B2,CAST,other,
Al0.304 Cr0.435 Fe0.435 Ni1,FCC+BCC+B2,CAST,other,
Al0.25 Cr0.417 Fe0.417 Ni1,FCC,CAST,FCC,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,130.2
Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,415
Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,432
Al0.3 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,511
Al0.5 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,553
Al0.7 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,622
Al1 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,684
Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,94.7
Al0.3 Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,117
Al0.6 Co1 Cr1 Fe1 Ni1,FCC+BCC+B2,CAST,other,228
Al0.9 Co1 Cr1 Fe1 Ni1,FCC+BCC+B2,CAST,other,511
Al0.9 Co1 Cr1 Fe1 Ni1 Ti0.5,BCC+B2+Sec.,CAST,other,623
Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,
Co1 Cr1 Fe1 Mn1 Mo0.042 Ni1,FCC,CAST,FCC,
Co1 Cr1 Fe1 Mn1 Mo0.087 Ni1,FCC+Sec.,CAST,other,
Co1 Cr1 Fe1 Mn1 Mo0.136 Ni1,FCC+Sec.,CAST,other,
Co1 Cr1 Fe1 Mn1 Mo0.19 Ni1,FCC+Sec.,CAST,other,
Al1 Co1 Cr1 Ni1,BCC+B2,CAST,other,1183
Cr1 Cu1 Fe1 Mn1 Ni1,Other,CAST,other,
Cr1 Mo1 Nb1 Ta1 V1 W1,,CAST,other,704.6
Co1 Cr1 Cu1 Fe1 Ni1,FCC+B2,CAST,other,160
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,160
Al1 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,other,458
Al1 Co0.667 Cr0.667 Cu0.667 Fe0.667 Ni0.667,FCC+BCC,CAST,other,498
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,FCC+BCC,CAST,other,560
Al0.544 C0.001 Co0.69 Fe1 Ni0.69,B2+L12,CAST,other,
Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,
Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,
Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,
Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,BCC+Sec.,CAST,other,
Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,BCC+Sec.,CAST,other,
Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,BCC+Sec.,CAST,other,
Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,
Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,
Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,
Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,BCC+Sec.,CAST,other,
Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,BCC+Sec.,CAST,other,
Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,BCC+Sec.,CAST,other,
Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,
Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,
Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,
Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,BCC+Sec.,CAST,other,
Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,BCC+Sec.,CAST,other,
Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,BCC+Sec.,CAST,other,
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,
Al0.3 Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,132
Al0.3 Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,147
Al0.3 Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,165
Al1 Co1 Cr1 Fe1 Ni1,B2+BCC,CAST,other,519
Al1 Co1 Cr1 Fe1 Ni1,B2+BCC,CAST,other,493
Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,
Mo1 Nb1 Re0.5 W1,BCC,CAST,BCC,473
C0.2 Mo1 Nb1 Re0.5 Ta0.2 W1,BCC+Sec.,CAST,other,510
C0.4 Mo1 Nb1 Re0.5 Ta0.4 W1,BCC+Sec.,CAST,other,558
C0.5 Mo1 Nb1 Re0.5 Ta0.5 W1,BCC+Sec.,CAST,other,583
C0.6 Mo1 Nb1 Re0.5 Ta0.6 W1,BCC+Sec.,CAST,other,615
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC+B2,CAST,other,581.7
Al1 Co0.556 Cr0.556 Fe0.556 Ni0.556 Ti0.111,BCC+B2,CAST,other,605.5
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.333,BCC+B2,CAST,other,641.7
Al1 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti0.667,BCC+B2,CAST,other,639.6
Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+B2+Laves,CAST,other,703
Al0.667 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti1,BCC+B2+Laves,CAST,other,856.9
Hf1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,other,
Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,other,
Hf1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,other,
Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,other,
Hf1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,other,
Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,other,
Hf1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,other,
Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,BCC+Laves,CAST,other,
Nb1 Ti1 Zr1,BCC,CAST,BCC,372
Hf1 Nb1 Ti1 Zr1,BCC,CAST,BCC,351
Nb1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Nb1 Ti1 Zr1,BCC,CAST,BCC,
Nb1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Nb1 Ti1 Zr1,BCC,CAST,BCC,
Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,168.9
Co1 Cr1 Fe1 Ni1 W0.2,FCC,CAST,FCC,244
Co1 Cr1 Fe1 Ni1 W0.5,FCC+Sec.,CAST,other,357.9
Cr1 Fe1 Mo1 Nb1 V1,BCC+Laves,CAST,other,826
Cr1 Fe1 Mo1 Nb1 Ti1,BCC+Laves,CAST,other,792
Fe1 Mo1 Nb1 Ti1 V1,BCC+B2,CAST,other,699
Al1 Nb1 Ta1 Ti1,BCC,CAST,BCC,
Al1 Nb1 Ta1 Ti1,BCC,CAST,BCC,
Al1 Nb1 Ta1 Ti1,BCC,CAST,BCC,
Hf0.25 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,338.3
Hf0.25 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,338.3
Hf0.25 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,338.3
Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,332.4
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,322.5
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,322.5
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,322.5
Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,318.9
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,310.4
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,310.4
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,310.4
Co0.476 Cr0.476 Fe0.476 Nb0.095 Ni1,FCC+Laves,CAST,other,
Co0.476 Cr0.476 Fe0.476 Nb0.19 Ni1,FCC+Laves,CAST,other,
Co0.25 Cr0.25 Fe1 Mn1,FCC,CAST,FCC,
Co0.25 Cr0.25 Fe1 Mn1,FCC,CAST,FCC,
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,FCC,CAST,FCC,
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,FCC,CAST,FCC,
Co1 Cu1 Fe1 Mn1 Ni1,FCC,CAST,FCC,
Co1 Cu1 Fe1 Mn1 Ni1,FCC,CAST,FCC,
Co1 Cu1 Fe1 Mn1 Ni1,FCC,CAST,FCC,
Co1 Cr1 Fe1 Mo0.15 Ni1,FCC,CAST,FCC,
Al1 Co1 Cr0.091 Nb0.727 W0.212,,CAST,other,1084
Co1 Cr0.917 Ni1 Ta0.5 Ti0.75,,CAST,other,1011
Al0.947 Co0.158 Mo1 Ni0.289 W0.237,,CAST,other,725
Co0.043 Nb0.638 Ni1 Ta0.255 Ti0.191,,CAST,other,815
Co0.273 Cr0.477 Nb0.477 Ni0.045 Ti1,,CAST,other,422
Co1 Cr0.487 Nb0.231 Ta0.026 Ti0.821,,CAST,other,856
Co0.564 Nb0.795 Ta0.103 Ti1 W0.103,,CAST,other,277
Al1 Co1 Cu1 Fe1 Ni0.5,FCC+BCC+B2,CAST,other,430.9
Al1 Co1 Cu1 Fe1 Ni0.8,FCC+BCC+B2,CAST,other,420
Al1 Co1 Cu1 Fe1 Ni1,FCC+BCC+B2,CAST,other,391.4
Al0.667 Co0.667 Cu0.667 Fe0.667 Ni1,FCC+BCC+B2,CAST,other,323.8
Al0.5 Co0.5 Cu0.5 Fe0.5 Ni1,FCC+BCC+B2,CAST,other,299.2
Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,FCC,CAST,FCC,279.6
Al0.5 Cr1 Fe1 Mn1 Ni1,BCC+B2,CAST,other,353
Al0.6 Cr1 Fe1 Mn1 Ni1,BCC+B2,CAST,other,361
Al0.7 Cr1 Fe1 Mn1 Ni1,BCC+B2,CAST,other,375
Al0.8 Cr1 Fe1 Mn1 Ni1,BCC+B2,CAST,other,386
Co1 Cr0.2 Fe1 Ni1 Si0.2,FCC,CAST,FCC,130.1
Al1 Cu0.077 Fe0.077 Mg0.077 Si0.231 Zn0.077,FCC,CAST,FCC,
Al1 Cu0.077 Mg0.077 Ni0.077 Si0.231 Zn0.077,FCC,CAST,FCC,
Al1 Cr0.077 Cu0.077 Mg0.077 Si0.231 Zn0.077,FCC,CAST,FCC,
Al1 Cu0.077 Mg0.077 Mn0.077 Si0.231 Zn0.077,FCC,CAST,FCC,
Al1 Cu0.077 Mg0.077 Si0.231 Zn0.077 Zr0.077,FCC+Laves,CAST,other,
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,CAST,FCC,
Al0.569 Ca0.143 Li0.857 Mg1 Si0.286 Y0.003,,CAST,other,
Al0.429 Ca0.286 Li1 Mg1 Si0.143,,CAST,other,
Al0.312 Ca0.021 Li0.792 Mg1 Si0.021,,CAST,other,
Al0.333 Ca0.011 Li0.844 Mg1 Si0.033,,CAST,other,
Al0.333 Ca0.011 Li0.867 Mg1 Si0.011,,CAST,other,
Co1 Cr1 Fe1 Ni1 Pd1,FCC,CAST,FCC,295
Co1 Cr1 Fe1 Mn0.2 Ni1 Pd1,FCC+Sec.,CAST,other,470
Co1 Cr1 Fe1 Mn0.4 Ni1 Pd1,FCC+Sec.,CAST,other,380
Co1 Cr1 Fe1 Mn0.6 Ni1 Pd1,FCC+Sec.,CAST,other,180
Co1 Cr1 Fe1 Mn0.8 Ni1 Pd1,FCC+Sec.,CAST,other,160
Cr1 Fe1 Ni1 Ti0.2,BCC+FCC,CAST,other,362.2
Cr1 Fe1 Ni1 Ti0.3,BCC+FCC,CAST,other,510.3
Cr1 Fe1 Ni1 Ti0.4,BCC,CAST,BCC,600.3
Cr1 Fe1 Ni1 Ti0.5,BCC,CAST,BCC,709.6
Cr1 Fe1 Ni1 Ti0.6,BCC,CAST,BCC,718.2
Co0.2 Cr0.2 Fe1 Mn0.6,FCC+Sec.,CAST,other,296
B0.006 Co0.201 Cr0.201 Fe1 Mn0.604,FCC+Sec.,CAST,other,282
B0.012 Co0.202 Cr0.202 Fe1 Mn0.607,FCC+Sec.,CAST,other,306
B0.035 Co0.207 Cr0.207 Fe1 Mn0.621,FCC+Sec.,CAST,other,452
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,CAST,other,
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,CAST,other,
Hf1 Ti1 Zr1,Other,CAST,other,211
Hf1 Sc1 Ti1 Zr1,Other,CAST,other,233
Hf1 Ti1 Y1 Zr1,Other,CAST,other,241
Hf1 Sc1 Ti1 Y1 Zr1,Other,CAST,other,256
Co1 Cr1 Fe1 Ga1 Ni1,FCC+BCC,CAST,other,
Al0.562 Co0.938 Cr0.312 Fe0.312 Ni1,FCC+BCC,CAST,other,305.4
Al0.581 Co0.968 Cr0.323 Fe0.323 Mo0.032 Ni1,FCC+BCC,CAST,other,357.3
Al0.6 Co1 Cr0.333 Fe0.333 Mo0.067 Ni1,FCC+BCC,CAST,other,362.6
Al0.6 Co1 Cr0.333 Fe0.333 Mo0.1 Ni0.967,FCC+BCC,CAST,other,359.7
Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,
Co1 Cr1 Cu1 Fe1 Ni1 V0.042,FCC+Sec.,CAST,other,
Co1 Cr1 Cu1 Fe1 Ni1 V0.087,FCC+Sec.,CAST,other,
Co1 Cr1 Cu1 Fe1 Ni1 V0.136,FCC+Sec.,CAST,other,
Co1 Cr1 Cu1 Fe1 Ni1 V0.19,FCC+Sec.,CAST,other,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,359
Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,358
Nb1 Ta1 Ti1,BCC,CAST,BCC,246
Ta1 Ti1 Zr1,BCC+Sec.,CAST,other,485
Nb1 Ti1 Zr1,BCC,CAST,BCC,295
Nb1 Ta0.667 Ti0.667 Zr0.333,BCC+Sec.,CAST,other,294
Nb0.333 Ta0.667 Ti0.667 Zr1,BCC+Sec.,CAST,other,489
Al0.774 Fe1 Mn0.903 Ni0.484,,CAST,other,310
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,,CAST,other,330
Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.097,,CAST,other,500
Cr1 Cu1 Fe1 Ni1 Ti1,FCC+BCC,CAST,other,
Al0.5 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,226
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ta1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ta1 Ti1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ta1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ta1 Ti1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ta1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ta1 Ti1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ta1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ta1 Ti1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ta1 Zr1,BCC,CAST,BCC,
Hf1 Mo1 Nb1 Ta1 Ti1,BCC,CAST,BCC,
Al1 Nb1 Ti1 Zr1,B2,CAST,other,422
Al1 Cr1 Fe1 Mo0.5 Ni1,BCC+B2,CAST,other,623.7
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.25,BCC+B2,CAST,other,712
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.4,BCC+B2,CAST,other,731.9
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.5,BCC+B2,CAST,other,751.7
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.6,BCC+B2,CAST,other,756.1
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.75,BCC+B2,CAST,other,766.2
Al1 Cr1 Mo1 Nb1,Other,CAST,other,
Al1 Hf1 Nb1 Ti1,B2,CAST,other,
Al1 Hf1 Ta1 Ti1,B2,CAST,other,
Al1 Mo1 Nb1 Ti1,BCC,CAST,BCC,509
Al1 Nb1 Ta1 Ti1,BCC,CAST,BCC,458
Cr1 Mo1 Ta1 Ti1,BCC,CAST,BCC,539
Cr1 Nb1 Ta1 Ti1,BCC,CAST,BCC,495
Cr1 Nb1 Ti1 W1,BCC,CAST,BCC,630
Hf1 Nb1 Ta1 Ti1,BCC,CAST,BCC,270
Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,446
Mo1 Nb1 Ta1 Ti1,BCC,CAST,BCC,431
